legacy_id,tree,namespace,subtype,status,source_license,licence_verdict,licence_reason,nearest_bundle_unit,content_cosine,nearest_by_slug,slug_jaccard,disposition,disposition_reason
@C01/color-blacklist-bg,modules,@C01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/example-tailwindui-app-shell,0.162,@community/rule-color-blacklist-brand,0.5,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/convergence-prevention,modules,@C01,concept,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/fact-ai-palette-convergence,0.158,@community/fact-error-prevention,0.333,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/font-whitelist-mono,modules,@C01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/fact-monospace-purpose,0.164,@impeccable/constraint-font-blacklist,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/font-whitelist-sans,modules,@C01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/constraint-font-blacklist,0.133,@impeccable/constraint-font-blacklist,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/font-whitelist-serif,modules,@C01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/provocation-why-not-serif,0.159,@impeccable/constraint-font-blacklist,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/priority-a11y-over-aesthetics,modules,@C01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/rule-no-silent-a11y-sacrifice,0.091,@community/method-a11y-audit,0.2,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/priority-content-over-decoration,modules,@C01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/fact-anti-vibe-coded-fingerprints,0.088,@community/constraint-no-content-flashing,0.2,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@C01/similarity-threshold-30pct,modules,@C01,threshold,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/fact-gestalt-similarity,0.111,@community/fact-doherty-threshold,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/cautionary-bootstrap-grid,modules,@E01,anti-pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/anti-pattern-generic-saas-blue,0.116,@community/pattern-dashboard-grid,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/cautionary-linear-clone,modules,@E01,anti-pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/counter-example-inter-purple-dark,0.102,@community/persona-linear,0.333,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/cautionary-material-copy,modules,@E01,anti-pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/metric-target-size,0.072,@community/principle-security-copy,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/cautionary-notion-clone,modules,@E01,anti-pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/example-notion-sidebar,0.129,@community/persona-notion,0.333,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/cautionary-tailwind-default,modules,@E01,anti-pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/fact-ai-fingerprint-detection,0.099,@community/provocation-accessibility-by-default,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-apple-2006-2012,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/rule-factual-not-aspirational,0.064,@community/persona-apple,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-arena,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/pattern-fintech-hero-amount-card,0.054,,0.0,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-brutalist-websites,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/pattern-fintech-hero-amount-card,0.05,@impeccable/persona-brutalist,0.333,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-cron-calendar,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/example-calcom-scheduler,0.078,@community/pattern-calendar-grid,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-figma-admin,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/rule-permissions-human-readable,0.082,@community/persona-figma,0.333,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-panic-com,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/principle-tone-calibration,0.091,,0.0,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-readymag,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/pattern-fintech-hero-amount-card,0.057,,0.0,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-stripe-press,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/persona-editorial,0.099,@community/persona-stripe,0.333,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-superhuman,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/persona-superhuman,0.11,@community/persona-superhuman,0.5,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/gold-vercel-dashboard,modules,@E01,gold-standard,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/example-vercel-sidebar,0.078,@community/example-vercel-dashboard,0.667,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/ref-site-content,modules,@E01,reference-site,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/feedback-stripe-redesign-2024,0.062,@community/constraint-no-content-flashing,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
